,state,county,latitude,longitude,pop_density,med_household_income,ZipCode,StateName,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,percent_2012_change,percent_2013_change,percent_2014_change,percent_2015_change,percent_2016_change,percent_2017_change,percent_2018_change,Has_Windfarm,percent_higher_ed
40,CA,Contra Costa County,37.802994,-121.653885,467.0,95716.0,94551,California,341400.0,330300.0,397800.0,506500.0,553500.0,598000.0,634400.0,718200.0,-0.032513181019332205,0.20435967302452318,0.27325289089994964,0.09279368213228034,0.08039747064137304,0.0608695652173914,0.13209331651954592,1,0.4547343188174191
41,CA,Marin County,38.15757,-122.679672,1070.0,80719.0,94947,California,356100.0,425000.0,480400.0,556900.0,605500.0,665100.0,739900.0,766300.0,0.19348497613030058,0.13035294117647056,0.1592422980849293,0.08726880948105586,0.09843104872006614,0.11246429108404743,0.03568049736450862,1,0.5053899082568807
42,CA,Merced County,37.031593,-121.17618600000002,118.0,67481.0,95023,California,265600.0,238300.0,287900.0,385200.0,426100.0,478000.0,508800.0,530100.0,-0.10278614457831325,0.20814099874108272,0.33796457103160815,0.10617860851505712,0.12180239380427138,0.06443514644351467,0.04186320754716988,1,0.254496635610766
43,CA,Alameda County,37.699894,-121.597389,286.0,98072.0,95377,California,267300.0,269000.0,306600.0,393800.0,402800.0,432700.0,461100.0,508000.0,0.00635989524878422,0.13977695167286242,0.28440965427266796,0.022854240731335684,0.07423038728897713,0.06563438872197835,0.1017132942962482,1,0.37219975958911594
44,CA,Alameda County,37.759995,-121.577583,419.0,99764.0,95391,California,308500.0,305700.0,352000.0,438900.0,424100.0,503800.0,503500.0,588200.0,-0.009076175040518608,0.1514556754988552,0.24687499999999996,-0.03372066529961271,0.1879273756189579,-0.0005954743946010588,0.16822244289970212,1,0.483203011873733
55,MN,Ramsey County,45.01,-93.16,2613.0,61113.0,55113,Minnesota,175500.0,167100.0,198400.0,215000.0,219800.0,220400.0,235300.0,237100.0,-0.047863247863247915,0.18731298623578696,0.08366935483870974,0.022325581395348904,0.0027297543221109777,0.0676043557168784,0.007649808754781162,0,0.5456549566206799
56,CA,Orange County,33.81,-117.81,5608.0,79650.0,92867,California,503800.0,437200.0,511800.0,606500.0,623000.0,621300.0,677900.0,713100.0,-0.13219531560142916,0.17063129002744737,0.18503321610003898,0.027205276174773196,-0.0027287319422151235,0.09109930790278442,0.05192506269361252,0,0.407435673789795
57,CA,Riverside County,33.92,-117.25,7277.0,42825.0,92553,California,131700.0,128500.0,147900.0,199100.0,220700.0,241600.0,257800.0,281600.0,-0.024297646165527764,0.1509727626459143,0.34617985125084516,0.10848819688598699,0.0946986859990937,0.06705298013245042,0.0923196276183087,0,0.15611886824863194
58,CA,Riverside County,33.7,-116.23,2729.0,41335.0,92201,California,140500.0,140200.0,167300.0,204200.0,215600.0,244500.0,261900.0,274800.0,-0.002135231316725994,0.19329529243937227,0.2205618649133294,0.0558276199804113,0.13404452690166968,0.07116564417177917,0.049255441008018375,0,0.1952059437620326
59,CA,Riverside County,33.9,-117.0,1005.0,65692.0,92223,California,180800.0,171100.0,191500.0,239400.0,247200.0,269900.0,291100.0,316300.0,-0.05365044247787609,0.11922852133255413,0.25013054830287196,0.032581453634085156,0.09182847896440127,0.07854761022600965,0.08656818962555812,0,0.32517016349729844
60,CA,San Bernardino County,34.2,-117.4,901.0,51471.0,92407,California,146100.0,128300.0,173900.0,211000.0,242400.0,253300.0,287800.0,334600.0,-0.12183436002737846,0.35541699142634453,0.21334100057504313,0.14881516587677734,0.04496699669966997,0.1362021318594553,0.1626129256428075,0,0.21711867063803103
61,CA,Los Angeles County,34.4,-118.0,220.0,56279.0,93543,California,109300.0,103800.0,114400.0,156000.0,172200.0,181600.0,231500.0,271500.0,-0.05032021957914001,0.10211946050096343,0.36363636363636354,0.10384615384615392,0.05458768873403019,0.27477973568281944,0.17278617710583144,0,0.15817423188772284
62,CA,Alameda County,37.52,-121.9,1968.0,143949.0,94539,California,825400.0,772200.0,932300.0,972500.0,1201400.0,1308100.0,1331400.0,1481800.0,-0.06445359825539132,0.20732970732970735,0.043119167649898094,0.2353727506426735,0.08881305143998675,0.017812093876614865,0.11296379750638419,0,0.7463441261815152
63,CA,San Joaquin County,38.03,-121.3,5892.0,40182.0,95210,California,101800.0,109900.0,104600.0,142300.0,158200.0,185600.0,212800.0,257400.0,0.0795677799607073,-0.048225659690627865,0.3604206500956022,0.11173576950105413,0.17319848293299622,0.14655172413793105,0.20958646616541343,0,0.2017767044719479
65,CA,Alameda County,37.4,-121.6,202.0,102413.0,94550,California,438500.0,425800.0,495000.0,616900.0,651800.0,716500.0,723900.0,828800.0,-0.028962371721778846,0.16251761390324093,0.24626262626262618,0.05657318852326143,0.09926357778459649,0.01032798325191897,0.14490951788921125,0,0.5208598676648752
