,state,county,latitude,longitude,pop_density,med_household_income,ZipCode,StateName,y2015,y2016,y2017,y2018,percent_2016_change,percent_2017_change,percent_2018_change,Has_Windfarm,percent_higher_ed
53,MN,Hennepin County,44.9,-93.6,1172.0,108911.0,55331,Minnesota,420000.0,490700.0,521700.0,480100.0,0.16833333333333322,0.06317505604238849,-0.07973931378186694,0,0.660638386532211
54,MN,Dakota County,44.8,-93.14,2369.0,103829.0,55123,Minnesota,283400.0,290600.0,300900.0,305700.0,0.025405786873676783,0.035443909153475506,0.0159521435692922,0,0.6802509710188228
55,MN,Ramsey County,45.01,-93.16,2613.0,61113.0,55113,Minnesota,219800.0,220400.0,235300.0,237100.0,0.0027297543221109777,0.0676043557168784,0.007649808754781162,0,0.5456549566206799
56,CA,Orange County,33.81,-117.81,5608.0,79650.0,92867,California,623000.0,621300.0,677900.0,713100.0,-0.0027287319422151235,0.09109930790278442,0.05192506269361252,0,0.407435673789795
57,CA,Riverside County,33.92,-117.25,7277.0,42825.0,92553,California,220700.0,241600.0,257800.0,281600.0,0.0946986859990937,0.06705298013245042,0.0923196276183087,0,0.15611886824863194
58,CA,Riverside County,33.7,-116.23,2729.0,41335.0,92201,California,215600.0,244500.0,261900.0,274800.0,0.13404452690166968,0.07116564417177917,0.049255441008018375,0,0.1952059437620326
59,CA,Riverside County,33.9,-117.0,1005.0,65692.0,92223,California,247200.0,269900.0,291100.0,316300.0,0.09182847896440127,0.07854761022600965,0.08656818962555812,0,0.32517016349729844
60,CA,San Bernardino County,34.2,-117.4,901.0,51471.0,92407,California,242400.0,253300.0,287800.0,334600.0,0.04496699669966997,0.1362021318594553,0.1626129256428075,0,0.21711867063803103
61,CA,Los Angeles County,34.4,-118.0,220.0,56279.0,93543,California,172200.0,181600.0,231500.0,271500.0,0.05458768873403019,0.27477973568281944,0.17278617710583144,0,0.15817423188772284
62,CA,Alameda County,37.52,-121.9,1968.0,143949.0,94539,California,1201400.0,1308100.0,1331400.0,1481800.0,0.08881305143998675,0.017812093876614865,0.11296379750638419,0,0.7463441261815152
63,CA,San Joaquin County,38.03,-121.3,5892.0,40182.0,95210,California,158200.0,185600.0,212800.0,257400.0,0.17319848293299622,0.14655172413793105,0.20958646616541343,0,0.2017767044719479
64,CA,San Joaquin County,38.03,-121.42,490.0,73911.0,95219,California,303700.0,325200.0,341700.0,381900.0,0.07079354626275935,0.050738007380073835,0.11764705882352944,0,0.5048603351955308
65,CA,Alameda County,37.4,-121.6,202.0,102413.0,94550,California,651800.0,716500.0,723900.0,828800.0,0.09926357778459649,0.01032798325191897,0.14490951788921125,0,0.5208598676648752
