,state,county,latitude,longitude,pop_density,med_household_income,ZipCode,StateName,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,percent_2010_change,percent_2011_change,percent_2012_change,percent_2013_change,percent_2014_change,percent_2015_change,percent_2016_change,percent_2017_change,percent_2018_change,Has_Windfarm,percent_higher_ed
33,CA,San Bernardino County,34.862396000000004,-116.959785,128.0,46279.0,92311,California,,,,53500.0,49700.0,79100.0,66700.0,89300.0,102500,126500.0,,,,-0.07102803738317753,0.591549295774648,-0.156763590391909,0.33883058470764627,0.1478163493840985,0.23414634146341462,1,0.4222222222222222
34,CA,San Bernardino County,34.561996,-117.30719,1218.0,53993.0,92394,California,,110900.0,114600.0,110700.0,125200.0,157600.0,176100.0,195400.0,211500,238300.0,,0.03336339044183956,-0.03403141361256545,0.13098464317976521,0.2587859424920127,0.11738578680203049,0.10959681998864279,0.08239508700102349,0.1267139479905437,1,0.14063860667634254
35,CA,San Bernardino County,34.557693,-117.358292,2479.0,38084.0,92395,California,,111300.0,102100.0,103200.0,125300.0,153600.0,167700.0,199600.0,206700,234000.0,,-0.08265947888589398,0.010773751224289807,0.21414728682170536,0.22585794094173983,0.091796875,0.1902206320810973,0.035571142284569035,0.13207547169811318,1,0.19795291709314228
36,CA,Los Angeles County,34.691982,-118.221596,2215.0,35892.0,93534,California,,91700.0,95400.0,92600.0,114200.0,134500.0,144100.0,155900.0,196600,229400.0,,0.040348964013086075,-0.02935010482180289,0.2332613390928726,0.17775831873905434,0.07137546468401479,0.08188757807078417,0.2610647851186658,0.16683621566632767,1,0.2138728323699422
37,CA,Los Angeles County,34.555896999999995,-118.118286,382.0,38316.0,93550,California,,109300.0,116100.0,109600.0,127000.0,160700.0,177000.0,201400.0,229200,256000.0,,0.06221408966148223,-0.05598621877691645,0.15875912408759119,0.26535433070866143,0.10143123833229617,0.13785310734463274,0.1380337636544191,0.1169284467713787,1,0.14150943396226415
38,CA,Kern County,35.099396,-118.338585,131.0,57433.0,93561,California,181200.0,178500.0,155900.0,132800.0,158000.0,172000.0,230600.0,231800.0,233700,242400.0,-0.01490066225165565,-0.12661064425770308,-0.1481719050673509,0.18975903614457823,0.08860759493670889,0.34069767441860455,0.005203816131829964,0.008196721311475308,0.037227214377406836,1,0.2574420714109013
39,CA,Alameda County,37.732441,-122.25177,5074.0,105616.0,94502,California,,,,,551400.0,601300.0,610300.0,910300.0,858000,918700.0,,,,,0.09049691693870154,0.014967570264426966,0.49156152711781087,-0.05745358672964962,0.07074592074592068,1,0.6963328780077755
40,CA,Contra Costa County,37.802994,-121.653885,467.0,95716.0,94551,California,350800.0,381100.0,341400.0,330300.0,397800.0,506500.0,553500.0,598000.0,634400,718200.0,0.08637400228050174,-0.10417213329834685,-0.032513181019332205,0.20435967302452318,0.27325289089994964,0.09279368213228034,0.08039747064137304,0.0608695652173914,0.13209331651954592,1,0.4547343188174191
41,CA,Marin County,38.15757,-122.679672,1070.0,80719.0,94947,California,428900.0,430100.0,356100.0,425000.0,480400.0,556900.0,605500.0,665100.0,739900,766300.0,0.0027978549778502337,-0.1720530109276912,0.19348497613030058,0.13035294117647056,0.1592422980849293,0.08726880948105586,0.09843104872006614,0.11246429108404743,0.03568049736450862,1,0.5053899082568807
42,CA,Merced County,37.031593,-121.17618600000002,118.0,67481.0,95023,California,264000.0,259600.0,265600.0,238300.0,287900.0,385200.0,426100.0,478000.0,508800,530100.0,-0.01666666666666672,0.023112480739599484,-0.10278614457831325,0.20814099874108272,0.33796457103160815,0.10617860851505712,0.12180239380427138,0.06443514644351467,0.04186320754716988,1,0.254496635610766
43,CA,Alameda County,37.699894,-121.597389,286.0,98072.0,95377,California,,275500.0,267300.0,269000.0,306600.0,393800.0,402800.0,432700.0,461100,508000.0,,-0.029764065335753154,0.00635989524878422,0.13977695167286242,0.28440965427266796,0.022854240731335684,0.07423038728897713,0.06563438872197835,0.1017132942962482,1,0.37219975958911594
